"","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","F1","F2","F3","G1","G2","G3","H1","H2","H3","I1","I2","I3"
"CADM2",3.8708305709992,3.92686478891697,3.94398731964994,3.84949305991104,3.99818158875323,4.0667493183746,3.92277411573273,3.84739342857981,3.96713716784861,3.86854073532543,3.95146104245974,3.95538670915375,3.89173431470134,4.00050938721433,3.9470374678699,3.85288857893577,3.91365066224212,3.93467778971866,3.88095720207569,3.91133820708753,3.91833282609865,3.90534824392879,3.87966525831759,3.81989471643361,3.92236972803338,3.88058608367656
"CALN1",4.41949412181465,4.65708628300067,4.34036590614391,4.54868041001722,4.3066612164757,4.27850099240319,4.43358357156722,4.35242975497803,4.2209294127929,4.30772422995645,4.27607597793947,4.33977666780053,4.2872986088105,4.29143362025653,4.41403344466358,4.30848102347153,4.37399443237897,4.41203776842944,4.26241023349895,4.26420967035287,4.55049044397237,4.27927964907214,4.39961489747632,4.30856023703303,4.41752221392404,4.37551978666019
"CASC22",4.23232752191616,4.05212833778844,4.22969515073405,4.17040690341789,4.16145339383799,4.1183021117236,4.19648899384185,4.04562665953994,4.15143497495293,4.14063888427801,4.05045411913487,4.12973818540173,4.2795916159156,4.15835104325628,4.05944153748566,4.14755123435293,4.13752338868354,4.05013994189973,4.16535902585781,4.11670887912356,4.42624485196813,4.07454140039854,4.19343349623252,4.08788097235916,4.08456931286694,4.07235229482521
"CASP4",6.18500770667915,6.08559874262765,6.35647888639348,6.34904097843185,6.1667559720597,6.21833664376264,6.1702636685843,6.16079719207683,6.27085525508151,6.20862353453501,6.20226686921152,6.00554811509475,6.27567949004795,6.12789170527295,5.97700031955386,6.16474820813388,6.00460163757754,5.77389169542424,5.78637343814579,6.00197476764448,5.6619764957739,5.72276580568236,5.85588937364574,5.11168760785012,4.96513045207843,5.20156685281896
"CBLIF",4.11900493608642,4.00020112096727,4.02138001084173,3.99080601833779,4.14651206041434,4.09646225187584,3.82270862543676,4.08491778318981,4.08522698643715,3.98984708102299,4.10341595541249,3.89480833378532,4.03163444398533,4.14979077835581,3.91238871262822,3.91360454439892,4.04942418400736,4.11927711364505,4.00687312698634,3.96217318600755,3.93530558231962,3.87702056728456,4.07920273859527,3.88550346316318,4.12292189544771,4.03097037602961
"CBX6",9.23056764435434,9.59378386391706,9.33718747760068,9.49175053699172,9.40966092652859,9.39562081967468,9.53382071718044,9.38073979182164,9.33960157965984,9.45815408735508,9.27412914326692,9.07156737804649,9.12410963170901,9.31471656108408,8.67641306650309,8.6880385944727,8.80470526588829,8.71100815771578,8.5451170006283,8.64290884064952,8.5948383554394,8.8021527379765,8.65528328566279,9.06067219114124,9.07436651603149,8.97998646122818
"CCDC115",8.89567337194018,8.87579701896853,8.71871445733337,8.51082556905498,8.73441361169668,8.84888443096872,8.79494873370935,8.71251347718651,8.71384827538349,8.79874776834435,8.59802521720187,8.59017608182992,8.78032054838287,8.7893510537714,8.83407026123471,8.78909115757281,8.66478845570891,8.50289354571733,8.56998200365301,8.84645639084817,8.49291679260177,8.68983373414015,8.84254510886159,8.40365184891032,8.5019627329413,8.66313432664861
"CCDC144A",3.74750455802108,3.74539300336481,3.84412089144192,3.84993787057229,3.78477914030452,3.98741632143873,3.83515653067223,3.9977897550421,3.99760510827828,4.12720752957668,3.86013066730757,3.68579525849904,3.85049482058749,3.86538808783809,3.78786448372847,3.92256594834539,3.85237095474855,3.72074485638882,3.85609408794489,3.85328718965427,3.83573383250192,3.86135150847541,3.90007413036501,3.71548446349784,3.96785161616091,3.88285577738496
"CCIN",5.36456806053465,4.99927240351623,5.38399310977137,5.39107610444224,5.49655984390531,5.31708086897214,5.49990771610846,5.36932799507662,5.08991608479361,5.16379069958583,5.30004432853697,5.29468509054891,5.41527979360486,5.34456947410239,5.24021113999153,5.28406654843553,4.99550457532815,5.25195851074427,5.16561453584044,5.21217364949006,5.7617726548741,5.23426012805567,5.38125470387795,5.18102412291253,5.42437286620158,4.84806075818073
"CCNY",6.93606986468435,7.05058832680482,7.05562658659463,6.84492112687263,6.96792642254916,7.33949051263109,7.11297991716937,7.06561090903525,7.2718174654003,7.20217973975064,7.11190506338532,7.17824938494945,7.23777159929186,7.20736052124779,7.2603252218333,7.1912256177334,7.24118183252124,7.35653262409699,7.27255511179713,7.28058808290838,7.32831248596325,7.36999960793849,7.05486117197522,7.31625641347119,7.23015086886042,7.28364780703441
"CCZ1B",5.96601411422694,6.30591116643516,6.50861064754269,5.23133582076602,6.19635326716416,5.97654923085919,5.90080997458352,6.03712167646051,6.14597788021556,6.30762212960732,6.32185861488703,6.52638055596245,5.98675360265263,5.62770182978881,6.07460627672785,6.3428435460299,5.76828092295263,6.26323098888401,6.43074429437759,6.55874505143486,6.37073742917157,6.43964094988535,6.25181104120492,6.23101941797033,6.21877305454827,6.14380983682668
